상권ID,상위시도,상위시군구,상권명,점수,동키워드,도로명키워드,보조키워드,비고
S001,서울특별시,중구,명동,100,명동1가;명동2가;명동3가;명동4가;회현동1가;회현동2가;회현동3가;충무로1가;충무로2가;을지로2가;을지로3가,명동길;명동4길;명동6길;명동7길;명동8길;명동9길;명동10길;명동11길;충무로;을지로;남대문로;삼일대로,명동;명동역;을지로입구역,"중국 관광객 1번지, 화장품/쇼핑 핵심"
S002,서울특별시,중구,동대문,100,을지로6가;을지로7가;신당동;광희동1가;광희동2가,장충단로;을지로;퇴계로;마장로,동대문;동대문역사문화공원;DDP;두타;밀리오레,"쇼핑, 24시간 상권"
S003,서울특별시,종로구,동대문(종로쪽),100,종로6가;창신동;숭인동,종로;창신길,동대문;흥인지문,동대문 시장 쪽
S004,서울특별시,마포구,홍대,95,서교동;동교동;합정동;상수동;망원동;연남동,양화로;와우산로;어울마당로;잔다리로;홍익로;독막로;월드컵북로,홍대;홍대입구;홍대입구역;상수역;합정역;연남,"젊은층 SNS 인기, K-pop"
S005,서울특별시,강남구,강남역,95,역삼동;역삼1동;역삼2동;서초동,강남대로;테헤란로;역삼로;서초대로,강남역;강남;역삼역;신논현역,"쇼핑, 의료관광"
S006,서울특별시,강남구,가로수길,95,신사동;압구정동,가로수길;도산대로;압구정로;논현로,가로수길;신사;신사역;압구정,트렌디 카페/패션
S007,서울특별시,용산구,이태원,90,이태원동;이태원1동;이태원2동;한남동;보광동,이태원로;녹사평대로;한남대로;보광로,이태원;이태원역;녹사평역,외국인 거리
S008,서울특별시,용산구,한남,90,한남동,한남대로;독서당로;이태원로,한남;한남동;한강진역,"트렌디, 부촌"
S009,서울특별시,성동구,성수,90,성수동1가;성수동2가,성수일로;성수이로;아차산로;뚝섬로;왕십리로,성수;성수동;성수역;뚝섬역;서울숲,"핫플, SNS 신흥"
S010,서울특별시,종로구,인사동,90,관훈동;인사동;공평동;견지동;경운동,인사동길;인사동4길;인사동5길;인사동10길;인사동11길;율곡로;삼일대로;우정국로,인사동;안국역;종각역,"전통 문화, 한지/공예"
S011,서울특별시,종로구,광화문,90,세종로;사직동;신문로1가;신문로2가;당주동;도렴동;내자동;효자동,세종대로;종로;사직로;율곡로,광화문;광화문역;경복궁;경복궁역,고궁 관광
S012,서울특별시,송파구,잠실,90,잠실동;잠실본동;신천동,올림픽로;석촌호수로;송파대로;잠실로,잠실;잠실역;잠실새내역;롯데월드;석촌호수,"롯데월드, 호텔/면세점"
S013,서울특별시,종로구,북촌/삼청동,85,가회동;삼청동;안국동;소격동;팔판동;재동,북촌로;삼청로;율곡로;가회로,북촌;북촌한옥마을;삼청동;안국역,한옥마을 관광
S014,서울특별시,서대문구,신촌,85,창천동;노고산동;대신동,신촌로;연세로;창천로;성산로,신촌;신촌역;이대;이대역,"대학가, 젊은층"
S015,서울특별시,강남구,압구정/청담,85,압구정동;청담동,압구정로;도산대로;선릉로;삼성로;청담동길,압구정;청담;압구정로데오;압구정역;청담역,명품/럭셔리
S016,서울특별시,마포구,합정,85,합정동;망원동,양화로;월드컵로;토정로;마포대로,합정;합정역;망원;망원역,홍대 연계 상권
S017,서울특별시,영등포구,여의도,85,여의도동,여의대로;여의공원로;국제금융로;여의나루로;63로,여의도;여의도역;여의나루역;63빌딩;IFC,"금융가, 한강 야경"
S022,서울특별시,강서구,김포공항,85,공항동;방화동;과해동,공항대로;방화대로;양천로;개화동로,김포공항;김포국제공항;공항역;김포공항역,"중국 노선 100만+ 여객, 중국 직항 다수"
S018,서울특별시,광진구,건대입구,80,화양동;자양동;능동,능동로;아차산로;광나루로;자양로,건대;건대입구;건대입구역;커먼그라운드,"젊은층, 중국인 유학생"
S019,서울특별시,성동구,왕십리/뚝섬,80,행당동;상왕십리동;하왕십리동,왕십리로;고산자로;뚝섬로,왕십리;왕십리역;뚝섬역;서울숲,교통 허브
S020,서울특별시,송파구,송파나루/석촌호수,80,송파동;방이동,송파대로;올림픽로,송파나루;방이동;석촌호수,잠실 연계
S021,서울특별시,강남구,삼성/코엑스,85,삼성동;대치동,테헤란로;영동대로;봉은사로;삼성로,삼성;삼성역;코엑스;봉은사,MICE/쇼핑
S101,부산광역시,해운대구,해운대,95,우동;중동;좌동;재송동,해운대해변로;해운대로;마린시티1로;마린시티2로;마린시티3로,해운대;해운대해수욕장;해운대역;센텀시티;마린시티,부산 관광 1번지
S102,부산광역시,수영구,광안리,90,광안동;남천동;민락동,광안해변로;광남로;수영로;민락로,광안리;광안리해수욕장;광안대교;광안역,"야경, 광안대교"
S103,부산광역시,중구,남포동/자갈치,85,남포동1가;남포동2가;남포동3가;남포동4가;남포동5가;남포동6가;광복동1가;광복동2가;광복동3가;신창동1가;신창동2가;신창동3가;신창동4가;창선동1가;창선동2가;부평동1가;부평동2가,광복로;자갈치로;구덕로;남포길;BIFF광장로,남포동;자갈치;자갈치시장;BIFF광장;국제시장;남포역;자갈치역,"전통 시장, 영화의 거리"
S104,부산광역시,부산진구,서면,85,부전동;전포동,중앙대로;서면로;새싹로;전포대로;가야대로,서면;서면역;전포카페거리;범내골역,도심 쇼핑/유흥
S105,부산광역시,동구,부산역/초량,80,초량동;수정동,중앙대로;충장대로;초량로;수정로,부산역;초량;차이나타운;초량차이나타운,"차이나타운, 부산역"
S106,부산광역시,해운대구,센텀시티,85,우동;재송동,센텀남대로;센텀중앙로;센텀동로;센텀서로;센텀북대로,센텀;센텀시티;센텀시티역;신세계센텀시티,신세계 백화점/쇼핑
S107,부산광역시,강서구,김해공항(부산),75,대저2동;대저1동;강동동,공항진입로;공항로;김해공항로;에어포트로,김해공항;김포공항부산;부산김해공항;공항역,"지방공항 1위, 단 중국 노선 약함(일본 위주)"
S207,제주특별자치도,제주시,제주공항,100,용담2동;용담3동;도두동;이호동,공항로;1100로;노형로;임항로;도공로,제주공항;제주국제공항;도두;이호테우,"중국 무비자 직항, 2025년 중국 관광객 151만명 입도"
S201,제주특별자치도,서귀포시,중문,100,중문동;색달동;대포동;회수동,중문관광로;천제연로;색달중앙로,중문;중문관광단지;중문해수욕장;천제연폭포,리조트/관광 핵심
S202,제주특별자치도,제주시,제주시 중심,95,연동;노형동;이도1동;이도2동;삼도1동;삼도2동;일도1동;일도2동;용담1동;용담2동;용담3동,연삼로;노형로;관덕로;중앙로;공항로;1100로,제주시;제주공항;제주국제공항;연동;노형;제주시청;탑동,공항/시청 인근
S203,제주특별자치도,서귀포시,서귀포 중심,90,서귀동;천지동;정방동;중앙동;송산동,중앙로;태평로;솔동산로;칠십리로,서귀포;서귀포시청;정방폭포;서귀포매일올레시장,남부 중심
S204,제주특별자치도,제주시,애월,90,애월읍;곽지리;한담동;고내리,애월해안로;일주서로;하귀애월로,애월;애월읍;한담해변;곽지해수욕장,"카페거리, SNS 인기"
S205,제주특별자치도,서귀포시,성산,90,성산읍;성산리;고성리;오조리;섭지코지,성산등용로;일주동로;섭지코지로,성산;성산일출봉;섭지코지;우도,일출/우도 거점
S206,제주특별자치도,제주시,조천/함덕,85,조천읍;함덕리;조천리,조함해안로;함덕로;일주동로,함덕;함덕해수욕장;조천,북부 해변
S301,인천광역시,중구,인천공항/영종도,95,운서동;운남동;중산동;을왕동;남북동;공항동,공항로;공항서로;공항동로;영종해안남로;영종해안북로,인천공항;인천국제공항;영종도;을왕리;파라다이스시티;인스파이어,"중국 관광객 메인 게이트, 국제선 80%+"
S304,인천광역시,중구,영종도(공항외),85,운북동;운남동,영종해안남로;영종해안북로;공항서로,영종도;을왕리해수욕장;마시안해변;무의도,공항 인근 호텔/관광
S302,인천광역시,중구,차이나타운/송월동,85,북성동1가;북성동2가;북성동3가;송월동1가;송월동2가;송월동3가;선린동;관동1가;관동2가;관동3가,차이나타운로;자유공원남로;자유공원로,차이나타운;인천차이나타운;송월동동화마을;인천역,차이나타운 (한국인 위주지만 일부 중국인)
S303,인천광역시,연수구,송도,80,송도동,센트럴로;컨벤시아대로;인천타워대로;아카데미로,송도;송도국제도시;센트럴파크;트라이볼,"신도시, MICE"
S401,경기도,수원시,수원 화성,85,행궁동;매향동;장안동;신풍동;남창동;팔달로1가;팔달로2가;팔달로3가,정조로;팔달로;수원천로;장안로;창룡대로,수원화성;화성행궁;수원;팔달문;장안문;팔달구,"유네스코, 한류 드라마"
S402,경기도,파주시,임진각/DMZ,80,문산읍;임진각;선유리;마정리,임진각로;자유로;통일로,임진각;DMZ;도라전망대;제3땅굴;파주,DMZ 투어
S403,경기도,가평군,가평/남이섬,85,가평읍;달전리;readiness;청평면;호명리,북한강로;호반로;가평북로;경춘로,남이섬;가평;쁘띠프랑스;자라섬,"남이섬, 드라마 촬영지"
S404,경기도,용인시,에버랜드/한국민속촌,80,포곡읍;전대리;에버랜드로;기흥구;보라동,에버랜드로;포곡로;민속촌로,에버랜드;캐리비안베이;한국민속촌;용인,테마파크
S405,경기도,고양시,일산/한류월드,75,장항동;대화동;주엽동;백석동,한류월드로;킨텍스로;호수로;중앙로,킨텍스;한류월드;원마운트;일산호수공원;일산,한류 콘텐츠
S501,강원도,강릉시,경포/안목,85,강문동;경포동;견소동;포남동;교동,경포로;창해로;경강로;해안로,경포;경포대;경포해수욕장;안목해변;안목커피거리,"커피거리, 해변"
S502,강원특별자치도,강릉시,경포/안목,85,강문동;경포동;견소동;포남동;교동,경포로;창해로;경강로;해안로,경포;경포대;경포해수욕장;안목해변;안목커피거리,"커피거리, 해변"
S503,강원도,속초시,속초/설악,80,동명동;영랑동;장사동;교동;노학동,설악산로;엑스포로;중앙로;영금정로,속초;속초해수욕장;설악산;영금정;속초중앙시장,설악산/해변
S504,강원특별자치도,속초시,속초/설악,80,동명동;영랑동;장사동;교동;노학동,설악산로;엑스포로;중앙로;영금정로,속초;속초해수욕장;설악산;영금정;속초중앙시장,설악산/해변
